"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-06T18:06:25.2347974Z","4923","0","0","57"
"2026-09-06T18:06:30.6289287Z","3697","30","0","60"
"2026-09-06T18:06:35.9256910Z","4178","3","0","59"
"2026-09-06T18:06:41.2300077Z","4562","0","0","58"
"2026-09-06T18:06:46.5306183Z","4143","0","0","59"
