--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0     10875332        89248       780148    0    0  1371    84 2045    9  21   2  78   0   0   0
   0    0            0     10355440        89280      1222888    0    0     0    50 8060 17010   2   6  92   0   0   0
   1    0            0      9712448        89296      1684740    0    0     0    28 8148 17226   2   6  92   0   0   0
   0    0            0      9080240        89304      2164060    0    0     0     9 8464 17860   2   6  92   0   0   0
   0    0            0      8376968        89312      2684724    0    0     0    10 9122 19337   2   4  93   0   0   0
   0    0            0      7663804        89312      3209528    0    0     0     0 9192 19493   2   5  93   0   0   0
   0    0            0      6969920        89312      3724712    0    0     0     0 9036 19152   2   5  93   0   0   0
   0    0            0      6334928        89312      4196376    0    0     0    22 8305 17552   2   5  93   0   0   0
   0    0            0      5673488        89312      4675736    0    0     0     0 8430 17828   2   5  93   0   0   0
   1    0            0      5043976        89312      5133052    0    0     0     0 8070 17006   3   5  91   0   0   0
   1    0            0      5013296        89312      5133208    0    0     0     0  310   60  25   0  75   0   0   0
   1    0            0      4964408        89312      5133208    0    0     0     0  309   56  24   1  75   0   0   0
   1    0            0      4949540        89312      5133208    0    0     0     0  307   55  25   0  75   0   0   0
   1    0            0      4691744        89312      5133208    0    0     0     0  309   54  24   1  75   0   0   0
   1    0            0      4677380        89328      5133208    0    0     0    23  321   68  25   0  75   0   0   0
   1    0            0      4677380        89336      5133208    0    0     0    15  319   69  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0    10  311   59  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  309   52  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  310   57  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  305   53  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  309   55  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4677380        89344      5133208    0    0     0    12  308   56  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  307   54  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  306   52  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  309   52  25   0  75   0   0   0
   1    0            0      4677380        89344      5133208    0    0     0     0  306   52  25   0  75   0   0   0
   1    0            0      4677380        89360      5133208    0    0     0    23  326   70  25   0  75   0   0   0
   1    0            0      4677380        89368      5133208    0    0     0    15  325   72  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0    10  312   57  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  311   53  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  309   55  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  309   53  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  309   53  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0    12  310   54  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  309   54  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  310   56  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  310   53  25   0  75   0   0   0
   1    0            0      4677380        89376      5133212    0    0     0     0  308   52  25   0  75   0   0   0
   1    0            0      4677380        89392      5133212    0    0     0    25  317   66  25   0  75   0   0   0
   1    0            0      4677380        89400      5133212    0    0     0     9  319   65  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0    10  308   59  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  306   54  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4677380        89408      5133212    0    0     0     0  311   57  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  307   52  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0    15  309   53  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  310   55  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  309   53  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  306   53  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  308   52  25   0  75   0   0   0
   1    0            0      4677380        89408      5133212    0    0     0     0  308   53  25   0  75   0   0   0
