--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    1            0     11325620        60588       525408    0    0 32637  2324 5006   15   4   7  85   4   0   0
   1    1            0     10439344        83028      1089872    0    0 29922    86 12124 20974   8  12  70  10   0   0
   1    0            0      9669476        83048      1641160    0    0 12414    22 14356 23626   5  12  69  15   0   0
   0    0            0      9072520        83388      2172564    0    0  1534   136 9474 19778   2   6  91   1   0   0
   0    0            0      8381488        83396      2681920    0    0    28   281 8987 18989   2   6  92   0   0   0
   0    0            0      7705420        83396      3180776    0    0     0     0 8756 18527   2   6  92   0   0   0
   0    0            0      7042340        83404      3673084    0    0     0    15 8655 18310   2   5  93   0   0   0
   0    0            0      6413524        83404      4140860    0    0     0     0 8252 17407   2   6  93   0   0   0
   0    0            0      5747800        83404      4623596    0    0     0     0 8503 17962   2   6  92   0   0   0
   2    0            0      5100964        83412      5091760    0    0     0    14 8266 17428   2   6  92   0   0   0
   1    0            0      4979512        83420      5112964    0    0     0    17  910 1020  28   3  69   0   0   0
   1    0            0      5063492        83444      5112956    0    0     0    55  361  105  25   0  75   0   0   0
   1    0            0      5011076        83444      5112956    0    0     0     2  308   57  24   1  75   0   0   0
   1    0            0      4987640        83452      5112956    0    0     0    22  313   59  25   0  75   0   0   0
   1    0            0      4763612        83460      5112956    0    0     0     6  307   57  24   1  75   0   0   0
   1    0            0      4715228        83476      5112940    0    0     0    27  320   67  25   1  75   0   0   0
   1    0            0      4715228        83476      5112956    0    0     0     0  313   60  25   0  75   0   0   0
   1    0            0      4714752        83484      5112988    0    0     0    20  322   70  25   0  75   0   0   0
   1    0            0      4714752        83492      5112988    0    0     0     7  307   59  25   0  75   0   0   0
   1    0            0      4714752        83492      5112988    0    0     0     6  306   57  25   0  75   0   0   0
   1    0            0      4714752        83492      5112988    0    0     0     0  302   54  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4714752        83492      5112988    0    0     0     0  302   53  25   0  75   0   0   0
   1    0            0      4714752        83492      5112988    0    0     0     0  307   57  25   0  75   0   0   0
   1    0            0      4706212        83492      5112988    0    0     0     0  350   87  26   0  74   0   0   0
   1    0            0      4717020        83508      5113000    0    0     0    22  601  291  30   5  65   0   0   0
   1    0            0      4717140        83524      5112996    0    0     0    38  323   72  25   0  75   0   0   0
   1    0            0      4717140        83532      5112996    0    0     0     9  307   58  25   0  75   0   0   0
   1    0            0      4663484        83720      5161796    0    0  9750    28  565  365  27   1  72   0   0   0
   1    0            0      4663484        83720      5161796    0    0     0    28  309   64  25   0  75   0   0   0
   1    0            0      4663484        83728      5161796    0    0     0    10  309   63  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0    10  307   57  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  307   55  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0    19  307   55  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  303   53  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  303   54  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  303   51  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  307   52  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  300   50  25   0  75   0   0   0
   1    0            0      4663484        83736      5161796    0    0     0     0  299   49  25   0  75   0   0   0
   1    0            0      4663484        83752      5161780    0    0     0    25  309   63  25   0  75   0   0   0
   1    0            0      4663484        83752      5161796    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4663484        83760      5161796    0    0     0     9  313   65  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4663484        83768      5161796    0    0     0    10  305   59  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0     0  304   55  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0     0  307   52  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0     0  306   51  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0    15  309   55  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0     0  304   52  25   0  75   0   0   0
   1    0            0      4663484        83768      5161796    0    0     0     0  307   56  25   0  75   0   0   0
   1    0            0      4666204        83776      5161796    0    0     0    12  543  263  29   3  68   0   0   0
   1    0            0      4666072        83792      5161800    0    0     0    27  328   72  25   0  75   0   0   0
