--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0     10988140        89408       780372    0    0   917    58 1969    8  21   1  78   0   0   0
   0    0            0     10364740        89424      1225452    0    0     0    23 8050 17056   2   5  93   0   0   0
   1    0            0      9757468        89432      1661496    0    0     0     9 7714 16266   2   7  92   0   0   0
   1    0            0      9113152        89440      2149836    0    0     0    10 8604 18184   2   5  93   0   0   0
   0    0            0      8410384        89440      2669488    0    0     0     0 9115 19316   2   5  93   0   0   0
   0    0            0      7716940        89440      3179996    0    0     0     0 8964 18979   2   5  93   0   0   0
   0    0            0      7061032        89440      3667544    0    0     0     0 8570 18134   2   5  93   0   0   0
   1    0            0      6467380        89440      4109528    0    0     0    14 7816 16459   2   5  92   0   0   0
   0    0            0      5851792        89440      4554852    0    0     0     0 7858 16592   2   5  93   0   0   0
   0    0            0      5243700        89440      4998120    0    0     0     0 7835 16508   2   6  92   0   0   0
   1    0            0      5040440        89440      5133180    0    0     0     0 2601 5063  18   3  79   0   0   0
   1    0            0      4994324        89440      5133180    0    0     0     0  311   59  25   1  75   0   0   0
   2    0            0      4954256        89440      5133196    0    0     0     0  367   93  25   1  73   0   0   0
   1    0            0      4816200        89456      5133196    0    0     0    34  543  246  30   3  67   0   0   0
   1    0            0      4698420        89480      5133188    0    0     0    41  352  102  24   1  75   0   0   0
   1    0            0      4684056        89488      5133188    0    0     0    14  314   61  25   0  75   0   0   0
   1    0            0      4684056        89488      5133188    0    0     0     0  311   55  25   0  75   0   0   0
   1    0            0      4684056        89488      5133188    0    0     0     0  313   57  25   0  75   0   0   0
   1    0            0      4684056        89488      5133188    0    0     0     0  309   51  25   0  75   0   0   0
   2    0            0      4684056        89488      5133188    0    0     0    21  307   54  25   0  75   0   0   0
   1    0            0      4683804        89488      5133188    0    0     0     0  309   53  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4683804        89488      5133188    0    0     0     0  313   55  25   0  75   0   0   0
   1    0            0      4683804        89488      5133188    0    0     0     0  310   54  25   0  75   0   0   0
   1    0            0      4683804        89488      5133188    0    0     0     0  304   52  25   0  75   0   0   0
   1    0            0      4683804        89488      5133188    0    0     0     0  306   53  25   0  75   0   0   0
   1    0            0      4683804        89504      5133188    0    0     0    24  319   67  25   0  75   0   0   0
   1    0            0      4683804        89512      5133188    0    0     0     9  318   64  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0    10  311   59  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  308   54  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  309   56  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0    14  307   54  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  305   53  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  304   53  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  305   53  25   0  75   0   0   0
   1    0            0      4683804        89520      5133188    0    0     0     0  304   52  25   0  75   0   0   0
   1    0            0      4683804        89536      5133188    0    0     0    25  314   66  25   0  75   0   0   0
   1    0            0      4683804        89544      5133188    0    0     0     9  315   65  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0    10  317   64  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  307   53  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  305   51  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4683804        89552      5133188    0    0     0     0  307   56  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0    15  308   56  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  308   53  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  306   53  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  305   55  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  306   53  25   0  75   0   0   0
   1    0            0      4683804        89552      5133188    0    0     0     0  305   53  25   0  75   0   0   0
   1    0            0      4891156        89568      5133188    0    0     0    25  325   74  25   0  75   0   0   0
