--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    1            0     11311768        61636       535080    0    0 33054  2340 4969   15   4   7  85   4   0   0
   0    1            0     10362304        83064      1152244    0    0 30283    48 13507 23311   7  12  70  11   0   0
   0    0            0      9560776        83084      1727920    0    0 11080    71 14230 24076   3  11  74  12   0   0
   1    0            0      8969160        83424      2252180    0    0  1534   114 9343 19495   2   6  92   1   0   0
   1    0            0      8292084        83432      2749932    0    0    28    18 8750 18510   2   5  93   0   0   0
   0    0            0      7654332        83440      3222944    0    0     0     9 8324 17599   2   6  93   0   0   0
   1    0            0      6994644        83440      3712984    0    0     0     0 8619 18233   2   6  92   0   0   0
   1    0            0      6318392        83440      4214208    0    0     0   239 8840 18667   2   5  93   0   0   0
   0    0            0      5634776        83448      4708816    0    0     0     7 8692 18400   2   6  92   0   0   0
   1    0            0      4972832        83448      5118048    0    0     0    42 7431 15356  10   7  83   0   0   0
   1    0            0      5020208        83472      5118040    0    0     0    38  361  111  25   0  74   0   0   0
   1    0            0      4967792        83480      5118040    0    0     0     9  308   62  25   0  75   0   0   0
   1    0            0      4961240        83480      5118040    0    0     0     0  303   56  25   0  75   0   0   0
   1    0            0      4709240        83480      5118040    0    0     0     0  303   53  24   2  75   0   0   0
   1    0            0      4694876        83488      5118040    0    0     0     6  305   57  25   0  75   0   0   0
   1    0            0      4694876        83504      5118040    0    0     0    23  316   67  25   0  75   0   0   0
   1    0            0      4694876        83512      5118040    0    0     0    25  321   69  25   0  75   0   0   0
   1    0            0      4694876        83520      5118040    0    0     0     8  309   56  25   0  75   0   0   0
   1    0            0      4694876        83520      5118040    0    0     0     0  309   55  25   0  75   0   0   0
   1    0            0      4694876        83520      5118040    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4694876        83520      5118040    0    0     0     0  309   56  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4694876        83520      5118040    0    0     0     0  307   53  25   0  75   0   0   0
   1    0            0      4604884        83520      5118048    0    0     0    10  504  214  29   2  69   0   0   0
   1    0            0      4705272        83544      5118040    0    0     0    41  361  115  25   1  74   0   0   0
   1    0            0      4705272        83552      5118032    0    0     0     9  314   64  25   0  75   0   0   0
   1    0            0      4705272        83552      5118040    0    0     0     0  306   51  25   0  75   0   0   0
   1    0            0      4705272        83552      5118040    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4705020        83568      5118044    0    0     0    23  319   66  25   0  75   0   0   0
   1    0            0      4705020        83576      5118044    0    0     0    10  321   71  25   0  75   0   0   0
   2    0            0      4705020        83584      5118044    0    0     0    30  313   58  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  309   56  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  305   51  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  304   53  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  307   52  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  308   52  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  306   53  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  306   52  25   0  75   0   0   0
   1    0            0      4705020        83584      5118044    0    0     0     0  303   52  25   0  75   0   0   0
   1    0            0      4705020        83600      5118048    0    0     0    25  309   66  25   0  75   0   0   0
   1    0            0      4705020        83608      5118048    0    0     0    10  319   68  25   0  75   0   0   0
   1    0            0      4705020        83616      5118048    0    0     0    10  307   59  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4705020        83616      5118048    0    0     0     0  310   58  25   0  75   0   0   0
   1    0            0      4705020        83616      5118048    0    0     0     0  306   57  25   0  75   0   0   0
   1    0            0      4705020        83616      5118048    0    0     0     0  305   52  25   0  75   0   0   0
   1    0            0      4705020        83616      5118048    0    0     0    15  304   54  25   0  75   0   0   0
   1    0            0      4705020        83616      5118048    0    0     0     0  308   56  25   0  75   0   0   0
   1    0            0      4700260        83616      5118056    0    0     0     0  340   80  25   1  74   0   0   0
   1    0            0      4700524        83632      5118060    0    0     0    22  518  237  29   2  69   0   0   0
