"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-05T00:43:22.3171842Z","5671","218","0","51"
"2026-09-05T00:43:27.6541725Z","5348","21638","0","53"
"2026-09-05T00:43:32.9598775Z","4500","28367","0","56"
"2026-09-05T00:43:38.2521117Z","3903","27678","0","58"
"2026-09-05T00:43:43.5312431Z","3191","29568","0","60"
"2026-09-05T00:43:48.8331217Z","2513","22374","0","62"
"2026-09-05T00:43:54.1384679Z","1835","27867","0","64"
"2026-09-05T00:43:59.4392098Z","1325","22329","0","66"
"2026-09-05T00:44:04.7372389Z","679","26603","0","69"
"2026-09-05T00:44:10.0179284Z","640","63","0","70"
"2026-09-05T00:44:15.3098283Z","642","0","0","70"
"2026-09-05T00:44:20.6046973Z","616","0","0","70"
"2026-09-05T00:44:25.9060281Z","580","0","0","70"
"2026-09-05T00:44:31.2069936Z","564","0","0","70"
"2026-09-05T00:44:36.5104878Z","556","41","0","71"
"2026-09-05T00:44:41.8071234Z","556","439","0","70"
"2026-09-05T00:44:47.1072843Z","549","122","0","70"
"2026-09-05T00:44:52.3907875Z","556","0","0","70"
"2026-09-05T00:44:57.6994175Z","565","0","0","70"
"2026-09-05T00:45:02.9849631Z","553","0","0","70"
"2026-09-05T00:45:08.2861431Z","587","60","0","70"
"2026-09-05T00:45:13.5698035Z","529","0","0","71"
"2026-09-05T00:45:18.8491318Z","613","0","0","71"
"2026-09-05T00:45:24.1201531Z","594","185","0","71"
"2026-09-05T00:45:29.4094831Z","602","191","0","71"
"2026-09-05T00:45:34.7094723Z","533","19","0","71"
"2026-09-05T00:45:40.0117978Z","568","0","0","70"
"2026-09-05T00:45:45.3025757Z","584","0","0","70"
"2026-09-05T00:45:50.6060818Z","601","113","0","70"
"2026-09-05T00:45:55.9016031Z","593","364","0","70"
"2026-09-05T00:46:01.1971978Z","579","38","0","70"
"2026-09-05T00:46:06.4875443Z","573","3","0","70"
"2026-09-05T00:46:11.7865616Z","582","816","0","70"
"2026-09-05T00:46:17.0719467Z","597","0","0","70"
"2026-09-05T00:46:22.3616258Z","588","0","0","70"
"2026-09-05T00:46:27.6506947Z","1929","0","0","70"
"2026-09-05T00:46:32.9477845Z","1871","120","0","70"
"2026-09-05T00:46:38.2547173Z","1871","0","0","70"
"2026-09-05T00:46:43.5482356Z","1839","0","0","70"
"2026-09-05T00:46:48.8455851Z","1810","0","0","70"
"2026-09-05T00:46:54.1262908Z","1800","0","0","71"
"2026-09-05T00:46:59.4198201Z","1805","0","0","70"
"2026-09-05T00:47:04.7151673Z","1807","136","0","70"
"2026-09-05T00:47:10.0024217Z","1802","0","0","70"
"2026-09-05T00:47:15.2928670Z","1940","4584","4857","70"
"2026-09-05T00:47:20.5837044Z","1815","0","0","71"
"2026-09-05T00:47:25.8699842Z","1827","18875","0","71"
"2026-09-05T00:47:31.1451259Z","2491","26637","0","71"
"2026-09-05T00:47:36.4241347Z","2753","31675","0","71"
